100 200 300
A,1,112,4
A,2,130,1
A,2,146,7
A,3,36,1
A,3,50,8
A,3,75,3
A,3,122,4
A,4,98,4
A,5,50,2
A,5,62,1
A,6,10,8
A,7,35,6
A,7,48,9
A,7,123,2
A,7,142,9
A,8,81,9
A,8,132,4
A,9,26,8
A,9,108,3
A,9,158,7
A,9,160,3
A,9,174,6
A,10,9,2
A,10,110,3
A,10,194,4
A,12,46,7
A,12,132,6
A,12,185,3
A,12,198,6
A,13,111,2
A,14,89,4
A,14,165,4
A,15,45,2
A,15,196,7
A,16,9,6
A,16,44,1
A,16,82,6
A,16,90,1
A,16,112,4
A,17,152,5
A,17,190,1
A,18,17,6
A,18,64,1
A,18,172,5
A,18,181,4
A,18,195,1
A,19,15,9
A,19,33,3
A,19,39,5
A,19,83,2
A,19,129,7
A,19,150,6
A,19,199,2
A,20,38,8
A,20,104,7
A,20,108,9
A,20,169,4
A,22,27,6
A,22,65,1
A,23,109,8
A,23,143,3
A,25,5,4
A,25,9,8
A,25,85,4
A,25,177,4
A,27,71,2
A,27,199,5
A,29,1,4
A,29,68,4
A,29,110,8
A,29,189,5
A,30,52,9
A,30,99,5
A,30,139,8
A,31,44,2
A,31,50,6
A,31,83,6
A,31,95,6
A,33,170,1
A,35,35,9
A,35,69,3
A,35,171,8
A,36,107,5
A,37,52,3
A,37,92,6
A,37,93,7
A,38,25,3
A,38,200,4
A,39,81,4
A,39,114,9
A,40,86,3
A,41,11,4
A,42,53,6
A,42,55,8
A,42,84,5
A,43,22,8
A,43,24,9
A,43,90,1
A,43,178,9
A,44,134,9
A,44,147,9
A,44,192,9
A,45,88,7
A,45,197,4
A,46,63,2
A,46,91,5
A,47,65,8
A,47,82,4
A,47,85,1
A,47,87,2
A,47,142,8
A,48,36,8
A,48,139,3
A,48,142,6
A,49,52,9
A,49,68,7
A,49,74,9
A,50,112,6
A,50,117,6
A,50,168,4
A,50,178,6
A,51,50,4
A,51,122,6
A,52,13,4
A,52,117,4
A,52,180,6
A,53,154,1
A,54,74,6
A,54,90,2
A,54,158,7
A,55,82,7
A,56,25,6
A,57,160,5
A,57,189,9
A,58,45,7
A,58,152,6
A,59,40,3
A,59,88,4
A,59,167,6
A,60,138,7
A,60,196,6
A,61,108,7
A,61,125,4
A,61,186,4
A,61,199,7
A,62,187,6
A,62,195,6
A,63,155,2
A,63,184,8
A,64,165,5
A,64,191,2
A,65,49,3
A,65,99,6
A,65,114,3
A,67,87,5
A,67,184,8
A,67,187,1
A,68,33,1
A,68,189,5
A,69,14,4
A,69,36,5
A,69,129,3
A,70,13,9
A,70,17,3
A,70,195,4
A,71,152,8
A,72,80,4
A,72,83,7
A,72,115,7
A,72,192,4
A,73,167,3
A,74,58,6
A,74,182,7
A,75,7,4
A,75,126,5
A,76,134,7
A,76,192,3
A,77,147,7
A,77,197,8
A,78,75,1
A,78,142,5
A,79,92,1
A,79,95,6
A,79,146,4
A,79,159,1
A,80,19,2
A,80,79,4
A,81,91,4
A,81,146,7
A,82,4,3
A,82,154,4
A,82,198,7
A,83,138,6
A,83,142,1
A,84,13,2
A,84,43,7
A,85,37,2
A,86,3,9
A,86,33,9
A,86,76,1
A,86,101,4
A,86,117,2
A,87,20,4
A,87,62,8
A,87,90,6
A,87,112,4
A,87,155,1
A,87,177,2
A,88,163,6
A,89,18,2
A,89,39,5
A,89,108,8
A,90,50,5
A,90,170,2
A,91,29,9
A,91,31,7
A,91,119,6
A,91,129,6
A,92,32,1
A,93,192,4
A,94,69,2
A,94,159,5
A,95,20,2
A,95,89,7
A,95,158,8
A,95,165,1
A,96,20,6
A,96,139,2
A,96,154,1
A,97,4,6
A,97,91,7
A,97,150,2
A,97,183,7
A,98,102,9
A,98,165,2
A,99,139,2
A,99,191,1
A,100,9,4
A,100,131,2
A,100,195,6
B,1,10,7
B,1,177,5
B,1,243,7
B,3,122,5
B,4,164,3
B,5,244,9
B,6,71,5
B,6,287,8
B,7,21,2
B,7,42,8
B,7,52,9
B,7,62,1
B,8,100,1
B,8,251,2
B,9,143,5
B,10,222,3
B,13,273,3
B,14,109,6
B,15,109,5
B,15,130,5
B,17,91,9
B,18,254,7
B,19,112,1
B,19,166,2
B,20,87,5
B,20,249,4
B,22,173,9
B,23,13,7
B,23,44,5
B,24,286,6
B,25,97,8
B,25,241,4
B,26,136,9
B,26,189,9
B,27,29,1
B,27,267,9
B,30,56,8
B,30,282,3
B,32,221,5
B,32,275,8
B,34,165,3
B,35,143,8
B,36,146,7
B,37,107,8
B,39,20,6
B,39,66,5
B,39,252,8
B,41,200,4
B,42,35,2
B,42,258,1
B,43,107,7
B,44,17,4
B,44,274,2
B,45,105,7
B,46,213,5
B,47,20,9
B,49,6,6
B,49,209,8
B,53,72,8
B,53,266,1
B,54,4,2
B,55,194,5
B,55,195,9
B,56,102,1
B,56,227,7
B,57,32,7
B,58,40,7
B,58,47,8
B,58,64,9
B,58,95,4
B,58,222,5
B,63,151,6
B,65,40,6
B,67,26,6
B,69,28,6
B,69,49,1
B,69,183,6
B,69,276,1
B,70,133,8
B,70,210,9
B,72,50,2
B,72,114,4
B,74,276,7
B,75,191,8
B,76,135,2
B,76,175,3
B,77,241,9
B,78,76,3
B,79,46,2
B,79,292,9
B,83,78,4
B,83,164,1
B,83,172,5
B,84,243,8
B,85,33,6
B,85,86,7
B,85,98,6
B,85,176,4
B,86,241,7
B,86,264,2
B,87,189,1
B,88,37,3
B,90,115,4
B,91,198,1
B,92,168,1
B,93,130,1
B,93,192,2
B,93,193,3
B,94,72,1
B,94,110,4
B,94,249,3
B,95,1,2
B,96,38,7
B,97,5,8
B,97,106,7
B,97,286,9
B,99,191,7
B,100,268,9
B,101,57,3
B,102,70,5
B,102,289,9
B,104,75,4
B,105,46,6
B,106,220,1
B,108,221,7
B,109,149,9
B,109,280,1
B,112,84,2
B,114,83,6
B,116,60,6
B,117,35,6
B,118,8,9
B,118,17,8
B,118,109,4
B,118,249,1
B,119,119,3
B,120,60,1
B,120,280,1
B,121,175,4
B,121,258,1
B,122,79,9
B,122,124,8
B,123,96,8
B,123,164,3
B,124,82,2
B,124,285,6
B,125,59,6
B,125,217,1
B,125,268,4
B,127,107,8
B,130,168,9
B,130,288,8
B,131,76,9
B,131,95,5
B,131,149,3
B,134,181,4
B,135,157,4
B,135,254,1
B,135,265,1
B,136,246,1
B,137,77,1
B,137,272,2
B,139,12,9
B,139,126,5
B,141,68,6
B,142,8,4
B,142,40,9
B,142,258,4
B,143,33,1
B,143,236,4
B,143,248,3
B,144,197,5
B,146,161,4
B,146,228,3
B,147,17,4
B,147,248,1
B,151,140,9
B,153,64,8
B,153,119,8
B,153,195,7
B,154,170,3
B,154,200,5
B,154,263,4
B,155,9,5
B,155,227,7
B,156,113,6
B,156,156,5
B,157,141,8
B,159,6,1
B,159,147,5
B,159,152,6
B,159,219,9
B,161,105,2
B,162,202,1
B,162,298,6
B,163,107,3
B,163,196,6
B,165,219,9
B,165,247,2
B,165,277,1
