1,84,8
2,161,28
2,168,9
2,228,21
2,288,8
3,79,36
3,124,32
3,146,7
3,191,24
6,222,24
7,8,36
7,40,81
7,96,16
7,143,48
7,164,6
7,258,36
9,136,72
9,189,72
9,221,21
10,37,32
10,143,10
10,166,8
10,281,32
12,81,24
12,213,35
12,276,42
14,219,36
14,247,8
14,277,4
14,284,36
15,105,14
16,17,4
16,84,8
16,115,4
16,143,30
16,274,2
17,111,2
18,7,24
18,19,35
18,67,24
18,91,54
18,162,30
18,270,4
19,20,30
19,66,25
19,78,8
19,109,45
19,130,45
19,164,2
19,172,10
19,252,40
20,75,28
20,221,63
22,29,6
22,40,6
22,267,54
23,33,3
23,149,72
23,236,12
23,248,9
23,280,8
25,33,24
25,44,28
25,86,28
25,98,24
25,143,40
25,176,16
25,244,36
29,10,28
29,177,20
29,210,15
29,243,28
29,299,45
30,12,72
30,126,40
30,191,35
31,1,12
31,17,8
31,78,24
31,164,6
31,172,30
31,274,4
33,45,1
35,28,18
35,49,3
35,143,72
35,183,18
35,276,3
37,130,7
37,168,6
37,192,14
37,193,21
38,97,24
38,133,20
38,241,12
39,83,54
40,241,21
40,264,6
42,72,48
42,194,40
42,195,72
42,243,40
42,266,6
43,115,4
43,173,72
43,286,54
44,17,36
44,121,45
44,181,36
44,248,9
44,261,18
45,25,20
45,37,21
46,151,12
46,198,5
47,8,32
47,33,6
47,40,120
47,86,7
47,98,6
47,176,4
47,189,2
47,258,32
48,8,24
48,12,27
48,40,54
48,126,15
48,146,56
48,258,24
49,276,63
50,35,36
50,84,12
50,128,20
50,270,16
51,79,54
51,124,48
52,35,24
52,137,12
52,152,36
52,273,12
53,170,3
53,200,5
53,263,4
54,115,8
54,276,42
56,97,48
56,241,24
57,210,27
57,299,81
58,105,49
59,15,24
59,37,12
59,109,30
61,8,20
61,59,24
61,217,4
61,221,49
61,268,16
62,7,54
62,218,48
62,270,24
62,294,54
63,9,10
63,30,64
63,195,40
63,227,14
64,29,18
64,219,45
64,247,10
64,277,5
64,284,45
65,6,18
65,83,18
65,191,42
65,209,24
67,30,64
67,189,5
67,195,40
67,218,8
67,294,9
68,210,15
68,299,45
69,109,24
69,146,35
70,7,36
70,91,27
70,270,16
70,273,27
72,78,28
72,121,20
72,164,7
72,172,35
72,261,8
73,15,12
73,109,15
74,40,42
74,47,48
74,64,54
74,95,24
74,128,63
74,222,30
75,21,8
75,42,32
75,52,36
75,62,4
76,121,15
76,181,28
76,261,6
77,17,28
77,25,40
77,248,7
78,8,20
78,40,45
78,191,8
78,258,20
79,1,12
79,6,1
79,147,5
79,152,6
79,161,16
79,168,1
79,219,9
79,228,12
80,46,8
80,112,2
80,166,4
80,292,36
81,161,28
81,198,4
81,228,21
82,81,28
82,164,9
82,170,12
82,200,20
82,263,16
82,276,49
83,8,4
83,40,9
83,258,4
84,107,49
84,273,6
85,107,16
86,35,12
86,57,12
86,122,45
86,135,2
86,175,3
87,9,5
87,44,14
87,84,8
87,87,20
87,115,24
87,227,7
87,249,16
88,107,18
88,196,36
89,20,30
89,66,25
89,221,56
89,252,40
89,254,14
90,45,2
91,119,18
92,221,5
92,275,8
93,121,20
93,261,8
94,6,5
94,28,12
94,49,2
94,147,25
94,152,30
94,183,12
94,219,45
94,276,2
95,87,10
95,219,9
95,247,2
95,249,8
95,277,1
95,284,9
96,12,18
96,87,30
96,126,10
96,170,3
96,200,5
96,249,24
96,263,4
97,164,18
97,198,7
98,70,45
98,219,18
98,247,4
98,277,2
98,284,18
98,289,81
99,12,18
99,29,9
99,126,10
100,7,54
100,76,18
100,95,10
100,143,20
100,149,6
100,270,24
